,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
325,HY,"Hyster-Yale Materials Handling, Inc.",1.00B,1.11%,24712,4.12B
326,CRAI,"CRA International, Inc.",979.08M,0.88%,9034,623.98M
327,CPLP,Capital Product Partners L.P.,974.19M,3.12%,77561,360.59M
328,THR,"Thermon Group Holdings, Inc.",972.67M,1.72%,76243,489.46M
329,GRC,The Gorman-Rupp Company,970.86M,-0.81%,21799,659.51M
330,HTLD,"Heartland Express, Inc.",964.41M,-1.48%,70272,1.21B
331,TRNS,"Transcat, Inc.",962.38M,0.29%,27999,250.64M
332,REVG,"REV Group, Inc.",958.56M,2.77%,336070,2.64B
333,ECO,Okeanis Eco Tankers Corp.,956.81M,2.81%,26723,413.10M
334,HRT,HireRight Holdings Corporation,953.02M,0.21%,85152,721.88M
335,ULH,"Universal Logistics Holdings, Inc.",943.34M,0.93%,11724,1.73B
336,PRLB,"Proto Labs, Inc.",933.45M,-2.37%,48601,503.88M
337,BV,"BrightView Holdings, Inc.",927.95M,1.37%,589579,2.79B
338,ASTE,"Astec Industries, Inc.",919.52M,1.58%,52059,1.34B
339,TWI,"Titan International, Inc.",910.15M,-0.08%,86573,1.82B
340,FWRD,Forward Air Corporation,908.82M,0.07%,282481,1.72B
341,GNK,Genco Shipping & Trading Limited,905.03M,-1.16%,298203,383.83M
342,NKLA,Nikola Corporation,903.81M,-0.09%,41826346,35.84M
343,MATW,Matthews International Corporation,900.52M,-0.46%,20703,1.88B
344,AZUL,Azul S.A.,895.14M,1.33%,665719,3.01B
345,KRNT,Kornit Digital Ltd.,892.57M,-0.74%,166180,219.79M
346,XMTR,"Xometry, Inc.",877.81M,-2.77%,242824,463.41M
347,TH,Target Hospitality Corp.,868.18M,2.93%,1054946,589.83M
348,BLDP,Ballard Power Systems Inc.,859.73M,-2.43%,4193294,102.37M
349,KELYA,"Kelly Services, Inc.",857.93M,0.08%,70553,4.84B
350,SKYH,Sky Harbour Group Corporation,857.32M,0.39%,23030,5.95M
351,KELYB,"Kelly Services, Inc.",852.14M,-2.08%,109,4.84B
352,NAT,Nordic American Tankers Limited,843.54M,0.37%,1267356,339.34M
353,ERII,"Energy Recovery, Inc.",841.91M,1.36%,161152,128.35M
354,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",822.75M,3.91%,281847,2.85B
355,EH,EHang Holdings Limited,814.09M,2.76%,1426329,10.52M
356,PCT,"PureCycle Technologies, Inc.",811.81M,6.58%,1492694,-
357,ATSG,"Air Transport Services Group, Inc.",811.17M,4.62%,262031,2.07B
358,RGR,"Sturm, Ruger & Company, Inc.",801.95M,-,59524,543.77M
